No transaksi,Kode,Tanggal,Masuk,Keluar,Saldo Bank,Saldo Total,Keterangan
86,DT,2014-09-28,0,954000,0,0,Donatur Tetap
87,KB,2014-09-30,0,964000,0,0,Kajian Bulanan
88,CS,2014-10-2,0,9740000,0,0,Cleaning Service
89,IB,2014-10-4,0,984000,0,0,Infaq Bulanan
90,DT,2014-10-6,0,994000,0,0,Donatur Tetap
91,KB,2014-10-8,0,1004000,0,0,Kajian Bulanan
92,CS,2014-10-10,0,1014000,0,0,Cleaning Service
93,IB,2014-10-12,0,1024000,0,0,Infaq Bulanan
94,DT,2014-10-14,0,103400000,0,0,Donatur Tetap
95,KB,2014-10-16,0,1044000,0,0,Kajian Bulanan
96,CS,2014-10-18,0,10540000,0,0,Cleaning Service
97,IB,2014-10-20,0,1064000,0,0,Infaq Bulanan
98,DT,2014-10-22,0,1074000,0,0,Donatur Tetap
99,KB,2014-10-24,0,1084000,0,0,Kajian Bulanan
100,CS,2014-10-26,0,1094000,0,0,Cleaning Service
